char,score
"('harry', 'ron')",3941
"('harry', 'hermine')",3378
"('harry', 'ginny')",482
"('harry', 'neville')",388
"('harry', 'luna')",182
"('harry', 'james')",125
"('harry', 'lily')",61
"('harry', 'malfoy')",757
"('harry', 'hagrid')",1165
"('harry', 'dumbledore')",1995
"('harry', 'voldemort')",711
"('harry', 'sirius')",777
"('harry', 'remus')",52
"('harry', 'bellatrix')",176
"('harry', 'snape')",1023
"('harry', 'mcgonagall')",472
"('harry', 'fred')",564
"('harry', 'george')",548
"('harry', 'arthur')",80
"('harry', 'molly')",56
"('harry', 'bill')",187
"('harry', 'fleur')",125
"('harry', 'horace')",18
"('harry', 'umbridge')",387
"('harry', 'blaise')",3
"('harry', 'seamus')",109
"('ron', 'hermine')",1137
"('ron', 'ginny')",165
"('ron', 'neville')",117
"('ron', 'luna')",71
"('ron', 'james')",49
"('ron', 'lily')",27
"('ron', 'malfoy')",262
"('ron', 'hagrid')",370
"('ron', 'dumbledore')",685
"('ron', 'voldemort')",233
"('ron', 'sirius')",265
"('ron', 'remus')",18
"('ron', 'bellatrix')",65
"('ron', 'snape')",372
"('ron', 'mcgonagall')",165
"('ron', 'fred')",194
"('ron', 'george')",168
"('ron', 'arthur')",42
"('ron', 'molly')",12
"('ron', 'bill')",60
"('ron', 'fleur')",35
"('ron', 'horace')",9
"('ron', 'umbridge')",133
"('ron', 'blaise')",1
"('ron', 'seamus')",32
"('hermine', 'ginny')",128
"('hermine', 'neville')",103
"('hermine', 'luna')",66
"('hermine', 'james')",35
"('hermine', 'lily')",24
"('hermine', 'malfoy')",204
"('hermine', 'hagrid')",337
"('hermine', 'dumbledore')",604
"('hermine', 'voldemort')",211
"('hermine', 'sirius')",199
"('hermine', 'remus')",14
"('hermine', 'bellatrix')",36
"('hermine', 'snape')",324
"('hermine', 'mcgonagall')",127
"('hermine', 'fred')",185
"('hermine', 'george')",132
"('hermine', 'arthur')",25
"('hermine', 'molly')",23
"('hermine', 'bill')",67
"('hermine', 'fleur')",45
"('hermine', 'horace')",8
"('hermine', 'umbridge')",94
"('hermine', 'blaise')",0
"('hermine', 'seamus')",31
"('ginny', 'neville')",19
"('ginny', 'luna')",11
"('ginny', 'james')",3
"('ginny', 'lily')",3
"('ginny', 'malfoy')",47
"('ginny', 'hagrid')",49
"('ginny', 'dumbledore')",103
"('ginny', 'voldemort')",26
"('ginny', 'sirius')",32
"('ginny', 'remus')",1
"('ginny', 'bellatrix')",3
"('ginny', 'snape')",32
"('ginny', 'mcgonagall')",19
"('ginny', 'fred')",25
"('ginny', 'george')",19
"('ginny', 'arthur')",3
"('ginny', 'molly')",0
"('ginny', 'bill')",9
"('ginny', 'fleur')",5
"('ginny', 'horace')",0
"('ginny', 'umbridge')",18
"('ginny', 'blaise')",0
"('ginny', 'seamus')",8
"('neville', 'luna')",5
"('neville', 'james')",2
"('neville', 'lily')",4
"('neville', 'malfoy')",23
"('neville', 'hagrid')",58
"('neville', 'dumbledore')",82
"('neville', 'voldemort')",28
"('neville', 'sirius')",21
"('neville', 'remus')",2
"('neville', 'bellatrix')",7
"('neville', 'snape')",37
"('neville', 'mcgonagall')",30
"('neville', 'fred')",26
"('neville', 'george')",12
"('neville', 'arthur')",3
"('neville', 'molly')",3
"('neville', 'bill')",9
"('neville', 'fleur')",3
"('neville', 'horace')",1
"('neville', 'umbridge')",14
"('neville', 'blaise')",0
"('neville', 'seamus')",8
"('luna', 'james')",1
"('luna', 'lily')",0
"('luna', 'malfoy')",14
"('luna', 'hagrid')",19
"('luna', 'dumbledore')",35
"('luna', 'voldemort')",12
"('luna', 'sirius')",10
"('luna', 'remus')",1
"('luna', 'bellatrix')",1
"('luna', 'snape')",12
"('luna', 'mcgonagall')",7
"('luna', 'fred')",11
"('luna', 'george')",14
"('luna', 'arthur')",2
"('luna', 'molly')",0
"('luna', 'bill')",5
"('luna', 'fleur')",1
"('luna', 'horace')",0
"('luna', 'umbridge')",5
"('luna', 'blaise')",0
"('luna', 'seamus')",2
"('james', 'lily')",0
"('james', 'malfoy')",13
"('james', 'hagrid')",10
"('james', 'dumbledore')",12
"('james', 'voldemort')",5
"('james', 'sirius')",10
"('james', 'remus')",1
"('james', 'bellatrix')",3
"('james', 'snape')",5
"('james', 'mcgonagall')",5
"('james', 'fred')",6
"('james', 'george')",6
"('james', 'arthur')",0
"('james', 'molly')",1
"('james', 'bill')",3
"('james', 'fleur')",1
"('james', 'horace')",0
"('james', 'umbridge')",6
"('james', 'blaise')",0
"('james', 'seamus')",2
"('lily', 'malfoy')",3
"('lily', 'hagrid')",8
"('lily', 'dumbledore')",14
"('lily', 'voldemort')",2
"('lily', 'sirius')",7
"('lily', 'remus')",0
"('lily', 'bellatrix')",2
"('lily', 'snape')",8
"('lily', 'mcgonagall')",5
"('lily', 'fred')",2
"('lily', 'george')",5
"('lily', 'arthur')",0
"('lily', 'molly')",0
"('lily', 'bill')",0
"('lily', 'fleur')",1
"('lily', 'horace')",1
"('lily', 'umbridge')",2
"('lily', 'blaise')",0
"('lily', 'seamus')",1
"('malfoy', 'hagrid')",73
"('malfoy', 'dumbledore')",143
"('malfoy', 'voldemort')",50
"('malfoy', 'sirius')",62
"('malfoy', 'remus')",7
"('malfoy', 'bellatrix')",9
"('malfoy', 'snape')",68
"('malfoy', 'mcgonagall')",32
"('malfoy', 'fred')",47
"('malfoy', 'george')",38
"('malfoy', 'arthur')",7
"('malfoy', 'molly')",0
"('malfoy', 'bill')",7
"('malfoy', 'fleur')",7
"('malfoy', 'horace')",0
"('malfoy', 'umbridge')",28
"('malfoy', 'blaise')",0
"('malfoy', 'seamus')",7
"('hagrid', 'dumbledore')",237
"('hagrid', 'voldemort')",97
"('hagrid', 'sirius')",82
"('hagrid', 'remus')",4
"('hagrid', 'bellatrix')",17
"('hagrid', 'snape')",113
"('hagrid', 'mcgonagall')",43
"('hagrid', 'fred')",67
"('hagrid', 'george')",53
"('hagrid', 'arthur')",8
"('hagrid', 'molly')",3
"('hagrid', 'bill')",17
"('hagrid', 'fleur')",13
"('hagrid', 'horace')",2
"('hagrid', 'umbridge')",44
"('hagrid', 'blaise')",0
"('hagrid', 'seamus')",11
"('dumbledore', 'voldemort')",128
"('dumbledore', 'sirius')",119
"('dumbledore', 'remus')",3
"('dumbledore', 'bellatrix')",21
"('dumbledore', 'snape')",147
"('dumbledore', 'mcgonagall')",85
"('dumbledore', 'fred')",97
"('dumbledore', 'george')",98
"('dumbledore', 'arthur')",14
"('dumbledore', 'molly')",11
"('dumbledore', 'bill')",32
"('dumbledore', 'fleur')",17
"('dumbledore', 'horace')",3
"('dumbledore', 'umbridge')",86
"('dumbledore', 'blaise')",0
"('dumbledore', 'seamus')",16
"('voldemort', 'sirius')",39
"('voldemort', 'remus')",3
"('voldemort', 'bellatrix')",10
"('voldemort', 'snape')",73
"('voldemort', 'mcgonagall')",36
"('voldemort', 'fred')",34
"('voldemort', 'george')",34
"('voldemort', 'arthur')",7
