char,score
"('harry', 'ron')",279
"('harry', 'hermine')",510
"('harry', 'ginny')",174
"('harry', 'neville')",82
"('harry', 'luna')",57
"('harry', 'james')",148
"('harry', 'lilly')",7
"('harry', 'draco')",848
"('harry', 'hagrid')",30
"('harry', 'dumbledore')",161
"('harry', 'voldemort')",110
"('harry', 'sirius')",229
"('harry', 'remus')",167
"('harry', 'bellatrix')",26
"('harry', 'snape')",248
"('harry', 'mcgonagall')",66
"('harry', 'fred')",59
"('harry', 'george')",75
"('harry', 'arthur')",21
"('harry', 'molly')",39
"('harry', 'bill')",20
"('harry', 'fleur')",11
"('harry', 'horace')",0
"('harry', 'umbridge')",22
"('harry', 'blaise')",132
"('harry', 'seamus')",21
"('ron', 'hermine')",99
"('ron', 'ginny')",38
"('ron', 'neville')",13
"('ron', 'luna')",10
"('ron', 'james')",20
"('ron', 'lilly')",1
"('ron', 'draco')",147
"('ron', 'hagrid')",7
"('ron', 'dumbledore')",26
"('ron', 'voldemort')",24
"('ron', 'sirius')",26
"('ron', 'remus')",31
"('ron', 'bellatrix')",4
"('ron', 'snape')",54
"('ron', 'mcgonagall')",13
"('ron', 'fred')",9
"('ron', 'george')",11
"('ron', 'arthur')",6
"('ron', 'molly')",4
"('ron', 'bill')",7
"('ron', 'fleur')",4
"('ron', 'horace')",0
"('ron', 'umbridge')",4
"('ron', 'blaise')",22
"('ron', 'seamus')",7
"('hermine', 'ginny')",58
"('hermine', 'neville')",38
"('hermine', 'luna')",21
"('hermine', 'james')",44
"('hermine', 'lilly')",2
"('hermine', 'draco')",326
"('hermine', 'hagrid')",15
"('hermine', 'dumbledore')",73
"('hermine', 'voldemort')",39
"('hermine', 'sirius')",75
"('hermine', 'remus')",60
"('hermine', 'bellatrix')",7
"('hermine', 'snape')",84
"('hermine', 'mcgonagall')",20
"('hermine', 'fred')",23
"('hermine', 'george')",29
"('hermine', 'arthur')",8
"('hermine', 'molly')",14
"('hermine', 'bill')",12
"('hermine', 'fleur')",6
"('hermine', 'horace')",0
"('hermine', 'umbridge')",6
"('hermine', 'blaise')",36
"('hermine', 'seamus')",7
"('ginny', 'neville')",12
"('ginny', 'luna')",6
"('ginny', 'james')",18
"('ginny', 'lilly')",3
"('ginny', 'draco')",99
"('ginny', 'hagrid')",4
"('ginny', 'dumbledore')",24
"('ginny', 'voldemort')",16
"('ginny', 'sirius')",26
"('ginny', 'remus')",20
"('ginny', 'bellatrix')",2
"('ginny', 'snape')",35
"('ginny', 'mcgonagall')",7
"('ginny', 'fred')",6
"('ginny', 'george')",7
"('ginny', 'arthur')",5
"('ginny', 'molly')",9
"('ginny', 'bill')",2
"('ginny', 'fleur')",1
"('ginny', 'horace')",0
"('ginny', 'umbridge')",1
"('ginny', 'blaise')",19
"('ginny', 'seamus')",3
"('neville', 'luna')",2
"('neville', 'james')",11
"('neville', 'lilly')",0
"('neville', 'draco')",44
"('neville', 'hagrid')",0
"('neville', 'dumbledore')",10
"('neville', 'voldemort')",4
"('neville', 'sirius')",12
"('neville', 'remus')",10
"('neville', 'bellatrix')",0
"('neville', 'snape')",15
"('neville', 'mcgonagall')",5
"('neville', 'fred')",2
"('neville', 'george')",5
"('neville', 'arthur')",1
"('neville', 'molly')",2
"('neville', 'bill')",3
"('neville', 'fleur')",2
"('neville', 'horace')",0
"('neville', 'umbridge')",0
"('neville', 'blaise')",9
"('neville', 'seamus')",2
"('luna', 'james')",5
"('luna', 'lilly')",0
"('luna', 'draco')",21
"('luna', 'hagrid')",0
"('luna', 'dumbledore')",5
"('luna', 'voldemort')",6
"('luna', 'sirius')",7
"('luna', 'remus')",1
"('luna', 'bellatrix')",2
"('luna', 'snape')",10
"('luna', 'mcgonagall')",5
"('luna', 'fred')",1
"('luna', 'george')",1
"('luna', 'arthur')",2
"('luna', 'molly')",0
"('luna', 'bill')",2
"('luna', 'fleur')",1
"('luna', 'horace')",0
"('luna', 'umbridge')",2
"('luna', 'blaise')",6
"('luna', 'seamus')",0
"('james', 'lilly')",0
"('james', 'draco')",83
"('james', 'hagrid')",3
"('james', 'dumbledore')",14
"('james', 'voldemort')",10
"('james', 'sirius')",19
"('james', 'remus')",16
"('james', 'bellatrix')",0
"('james', 'snape')",20
"('james', 'mcgonagall')",5
"('james', 'fred')",4
"('james', 'george')",7
"('james', 'arthur')",0
"('james', 'molly')",5
"('james', 'bill')",3
"('james', 'fleur')",0
"('james', 'horace')",0
"('james', 'umbridge')",4
"('james', 'blaise')",13
"('james', 'seamus')",4
"('lilly', 'draco')",3
"('lilly', 'hagrid')",0
"('lilly', 'dumbledore')",0
"('lilly', 'voldemort')",0
"('lilly', 'sirius')",1
"('lilly', 'remus')",0
"('lilly', 'bellatrix')",0
"('lilly', 'snape')",1
"('lilly', 'mcgonagall')",0
"('lilly', 'fred')",1
"('lilly', 'george')",0
"('lilly', 'arthur')",0
"('lilly', 'molly')",0
"('lilly', 'bill')",0
"('lilly', 'fleur')",0
"('lilly', 'horace')",0
"('lilly', 'umbridge')",0
"('lilly', 'blaise')",0
"('lilly', 'seamus')",0
"('draco', 'hagrid')",21
"('draco', 'dumbledore')",99
"('draco', 'voldemort')",49
"('draco', 'sirius')",110
"('draco', 'remus')",86
"('draco', 'bellatrix')",14
"('draco', 'snape')",156
"('draco', 'mcgonagall')",25
"('draco', 'fred')",28
"('draco', 'george')",30
"('draco', 'arthur')",12
"('draco', 'molly')",23
"('draco', 'bill')",19
"('draco', 'fleur')",6
"('draco', 'horace')",0
"('draco', 'umbridge')",12
"('draco', 'blaise')",101
"('draco', 'seamus')",8
"('hagrid', 'dumbledore')",5
"('hagrid', 'voldemort')",6
"('hagrid', 'sirius')",3
"('hagrid', 'remus')",2
"('hagrid', 'bellatrix')",1
"('hagrid', 'snape')",7
"('hagrid', 'mcgonagall')",1
